id,slug,name,datereleased,yearreleased,background_image,rating,metacritic,playtime,platforms,genres,description
10227,last-man-standing,Last Man Standing,2017-03-29,2017,https://media.rawg.io/media/screenshots/ba4/ba447d6bf41e1a638f850f2149eaaa6c.jpg,2.16,,2,PC,"Action, Adventure, Strategy, Casual, Massively Multiplayer, Indie","This is a small game. After the eighteenth World War. Human destruction, except you. Ironically, you're the one who started this war. Now you have the whole earth, but no one can communicate with you. You gradually become lonely and indifferent. You can't find people when you wander around the city center, buildings, markets, supermarkets and restaurants. The world is yours now, but if you don't have friends, relatives and lovers, will you regret your decision? May the world never have war and peace. In this game, the only thing players can do is manipulate the characters, browse the scenery, and then experience a lonely life. Yes, except in a daze, you have nothing to do! Operation mode Right click the target WASD motion control Mouse control direction"
10228,rock-of-ages-2-bigger-boulder,Rock of Ages 2: Bigger & Boulder,2017-08-28,2017,https://media.rawg.io/media/games/3d8/3d87406406e0a171f4330b30bb524689.jpg,3.57,77.0,2,"PC, PlayStation, Xbox, Nintendo","Action, Strategy, Racing, Arcade","The greatest “giant rocks rolling through historical/artistic ages” tower defense game is back with Rock of Ages 2: Bigger & Boulder. Just like the title says, Bigger &Boulder cranks up the surrealism and gameplay to be, well… BIGGER AND BOULDER. With an emphasis on the chaotic new multiplayer for up to four rock-rollers, new time periods, and improved graphics, physics, and destructibility powered by Unreal Engine 4, players will need to be ready for some intense rocking and rolling. ACE Team’s Trademark Quirkiness The Monty Python-esque humor is turned up to 11, as players literally rock and roll through the ages. Humorous animated vignettes will also make a return in full force, so famous historical figures beware! An Emphasis On Multiplayer A little friendly competition never hurt anyone, so that’s why ACE Team decided to improve the multiplayer feature of the game. Play with a friend in local split-screen or up to four players online in a 2v2 match to the death, all with the ability to customize banners and colors for your units and more. Oh, and did we mention that opposing tracks can now intersect each other? A Positively Absurd Art Style Just like in the original game, ACE Team has created various levels inspired by the greatest art periods in history. Players will gaze upon exquisite art from the Egyptians, Late Gothic era, Early Renaissance, and Surrealist movement, as they carve a path of destruction with their rolling rocks of doom! Historically Inaccurate Bosses Take on works of art come to life in boss battles featuring the likes of The Thinker and the Great Sphinx, leading up to the all-powerful final boss in a showdown like you'd never imagine! Improved Physics and Destructible Environments With upgraded physics and even more things to be cracked, crushed, flattened, and slammed, rolling various rocks down a hill has never been a more pleasant experience! Utter Chaos With the addition of brand new defensive units and unique boulders with special traits, chaos reigns supreme so be sure not to take each turn for granite."
10231,hackyzack,HackyZack,2017-03-28,2017,https://media.rawg.io/media/screenshots/5f9/5f92f1e461108cbd2112c649efae5c04.jpg,1.69,,4,"PC, PlayStation, Xbox","Action, Sports, Indie","You are Zack. Zack's just a regular kid. Juggle balls with unique properties through platforming puzzles to a goal at the end of each stage. Help Zack fill his treasured book of stickers to unlock optional challenge levels, where you race against the timer to destroy targets as fast as possible.<h3>Key Features</h3><ul><li>Precision-platforming puzzle-stunt game.<br/></li><li>Multiple ways to conquer 100+ levels.<br/></li><li>55 unique stickers to collect.<br/></li><li>Unlock and play as 8 different characters.</li></ul>"
10234,jazzpunk,Jazzpunk,2014-02-06,2014,https://media.rawg.io/media/screenshots/df6/df670a73ae928e05893d1d84af5810a7.jpg,3.97,75.0,3,"PC, PlayStation, Apple Macintosh, Linux","Action, Shooter, Adventure, Indie","The game genre is described as an “adventure.” The creators of the game claim that the game is a combination of the creators' favorite literature, movies, and cyberpunk, noir genres. Plot The game develops on planet Earth, in the ordinary world, in the atmosphere of the 50s, in the fictional location of Japanada. A top-secret espionage agency operating out of an abandoned subway station. The player controls Polyblank performing several missions given by the head of the organization. Missions are almost always bizarre and nonsensical. For example, all of them begin by ingesting a dose of prescription medicine. Missions include degaussing and smuggling pigeons, assassinating cowboys, cross dressing, killing a piggybacks, and photocopying. Gameplay The main content of the game is exploration and comedy over puzzle-solving. Each mission has a main goal, but the player can freely explore the world of the game, which is filled with many creatures and objects. There are also many mini-games. Managing a character is organized quite simply. Player can use the keyboard to move in all directions, jump, cycle through the player's inventory, and interact with highlighted objects. The mouse allows to manipulate the camera and look around. Bonus game mode ""Wedding Quake» mode allows players try to shoot AI-controlled enemies with wedding-themed weaponry, like wedding cake, roses, champagne corks, in a Quake deathmatch-style contest."
10239,battlestations-midway,Battlestations: Midway,2007-01-30,2007,https://media.rawg.io/media/screenshots/123/123745b2adbd3cbc7c8e41fc839230dd.jpg,2.68,76.0,1,"PC, Xbox, Apple Macintosh","Action, Strategy","Battlestations: Midway is an immense action game that drops players into massive air, sea, and undersea battles from Pearl Harbor to Midway. Players command massive fleet attacks and take direct, real-time, control of every plane, battleship, and submarine in the battle.Battlestations: Midway's blends intense 3rd-person action with epic, large-scale naval combat and brings to life the great Pacific battles of the World War II. From the chaos of Pearl Harbor, through the Philippines, Java and the Coral Sea all the way to the epic Battle of Midway.Innovative gameplay lets players take direct control of over 60 different warships, planes and submarines from a 3rd-person perspective. Players can instantly switch to and control nearly every vehicle in the battle.The game features 11 large-scale campaigns with 12 bonus challenge missions.FEATURES:Revolutionary gameplay: Experience epic WWII combat from multiple perspectives as you jump between dozens of units, playing as a pilot, a gunner, a submarine captain or even carrier fleet commander.Massive air, sea, and undersea battlefields: Every battle takes place simultaneously in the air, on and under the sea. Movement of your fleet and the individual efforts of any one vehicle is critical to success.Sixty warships: Features the Wildcat and Zero Fighter planes, the Dauntless Divebombers, the B17 and B24 bombers, the USS Lexington and USS Yorktown carriers, and Japan's infamous super battleship, The Yamato.Realism: Cutting-edge graphics bring the Pacific oceans and island chains alive with lush real-world environments, dynamic weather effects and incredibly detailed vehicles and weaponry.Featuring 11 massive campaigns with 12 bonus challenge missions and an immersive storyline."
10241,thief-ii-the-metal-age,Thief II: The Metal Age,2000-02-29,2000,https://media.rawg.io/media/games/f04/f04030abc433df09da4bb70a74bdf339.jpg,4.11,87.0,1,PC,"Action, Simulation","Thief II: The Metal Age is a first-person stealth game, the second installment in the series. Plot The game’s narrative takes place a year after the first game. The main character, an elusive thief Garrett, is tasked with resolving a crisis brewing in the metropolitan City. Different factions fight for influence and schemes are put into action to undermine each other’s plans. As the story progresses, the protagonist finds more clues about the mysterious prophecy that tells about the end of humanity and risks his own life to prevent it from fulfilling. Gameplay The game heavily emphasizes discreteness and stealth, as the guards of the City may often try to stop the main character. Visibility and sounds play a crucial role in completing different tasks, and utilizing the surroundings can help get rid of enemies without confrontation. Different gadgets can be used to mask the sounds, obtain enemy’s location, and snuff out the lights. However, the playable character can still use his weapons to get rid of pursuers, but on higher levels of difficulty, doing so ends up in defeat and the need to restart the mission. Visuals and features As with its predecessor, Thief II employs a refined AI system, where enemies can notice sudden changes in the environment and react correspondingly. The lighting and shadowing have also been revamped, albeit keeping the same noir mood to the locations. The graphics of the game are awe-inspiring for its year of release, as each texture is highly detailed, and physics are made to be life-comparable realistic."
10252,project-highrise,Project Highrise,2016-09-07,2016,https://media.rawg.io/media/screenshots/ca7/ca7b282870202c389f037ecf1ace1b86.jpg,3.61,73.0,5,"PC, PlayStation, iOS, Android, Apple Macintosh","Strategy, Simulation","OUT NOW! Just Updated - 13th Apr if you’re not ready to “double down” on the Las Vegas expansion, quite a bit of new content has been added to the base game in version 1.5. Here are some highlights: Mover’s office – Move things around your tower once you’ve built a mover’s office to coordinate and manage the process. New tenants – New retail and restaurant tenants are now available. New contracts – Take on new contracts from the city to earn extra resources to help build even more prestigious towers! For more details please go here; Notable Past Updates We've had big updates before, but have we had 'tall' updates ;) Our tallest update yet! 1.4.0 brings in a tall order of lobby options for your highrise. Multiple two story lobbies Multiple three story lobbies Lobby art, to make those ceilings look bling bling New Scenario More wallpaper decorations Increased expectancy of community support and love (T&Cs apply, this is not a real feature) For more details please go here; Our biggest update to date! 1.3.0 New Additions including; Rooftop Restaurants and Penthouse Apartments. Winter Holiday Decorations. Unlimited Mode. New scenario and more! For more details please go here; 9 NOVEMBER Was... Our biggest update to date! 1.2.0 New Additions including skybridges and cantilevered floors, plus Improvements and more! For more details please go here; 19 OCTOBER The Spooky Update 1.1.1 is here! Happy fall, everyone! Check out the new decorations we've added :) plus more! For more details please go here; 12 OCTOBER Update 1.1.0 is here! New items for your building, completely FREE! For more details please go here; À propos du jeu Votre rôle d’architecte et de promoteur consiste à construire des gratte-ciel de renommée mondiale, des chefs-d'œuvre d’art et d’ingénierie qui feront l’envie de toute la ville. Mais un gratte-ciel est plus qu’une simple construction de verre et d’acier, c’est un écosystème complexe de personnes qui y vivent et y travaillent. C'est une machine complexe qui a besoin de votre aide pour fonctionner harmonieusement et efficacement. Dès l’instant où le projet sera lancé, toutes les décisions vous appartiennent. En tant qu’architecte, vous devez coordonner la construction de tous les éléments, des murs aux câbles, en passant par les bureaux et les appartements. En tant que propriétaire de l’immeuble, vous devez garder vos locataires heureux et vous assurer qu'ils paient leur loyer à temps. En tant que promoteur averti, vous devez avoir l'œil sur les profits et investir dans l'avenir. Réussissez et vous récolterez les récompenses d’une adresse prestigieuse où tout le monde souhaitera vivre et travailler. En cas d’échec, vos locataires dégoûtés quitteront les lieux en prenant leurs commerces avec eux, laissant votre réputation en lambeaux. Allez-vous créer un complexe de bureaux qui attirera les chefs d’entreprises des quatre coins du monde ? Construirez-vous des appartements de luxe dans le ciel, des penthouses pour l’élite et des aires de jeux pour les célébrités ? La cupidité l’emportera-t-elle, vous poussant à construire un immeuble qui échangera le bonheur de vos locataires contre de jolies sommes d‘argent ? Tous ces choix et bien d'autres sont à votre disposition. Le succès est entièrement entre vos mains. Une simulation détaillée et complexe de gratte-ciel moderne Une grande variété de locataires aux caractéristiques uniques, de restaurants aux bureaux, en passant par les magasins de détail et autres appartements résidentiels. Un jeu ouvert de type bac à sable avec plusieurs niveaux de difficulté et conditions de départ qui vous permettent de construire le gratte-ciel de rêve qui surplombe la ville Un mode campagne qui teste vos compétences de construction de gratte-ciel dans des scénarios difficiles Mettez vos talents de gestion à l’épreuve en étant à l’écoute de la population de vos bâtiments et leurs demandes toujours plus exigeantes Commandez les services de consultants spécialisés afin d’augmenter l’attrait de votre bâtiment, son efficacité opérationnelle et son influence sur les responsables municipaux"
10261,homeworld-remastered-collection,Homeworld Remastered Collection,2015-02-24,2015,https://media.rawg.io/media/screenshots/8fa/8fa13bde20f4a6737145462ec3d0565e.jpg,4.05,86.0,4,"PC, iOS, Apple Macintosh","Strategy, Simulation","Homeworld Remastered Collection is a remastered collection of real-time space strategies Homeworld and Homeworld 2 including all their expansion packs developed by Gearbox Software. Plot For eternity, the people living on Kharak were certain, that this planet is not their homeworld. There was a Question of Origin, which could not be answered by any scientific research. A spaceship crashes on the planet's surface. A Guidestone and a hyperengine were discovered. The people of Kharak unite to build a spaceship and set off to find their true origin. Gameplay Homeworld is a real-time strategy, which takes place in space. Like in most strategy games, the gameplay focuses on gathering resources, building armies, and using them to annihilate the enemies or complete tasks. There are both singleplayer and multiplayer modes available to the players. The singleplayer campaign consists of a number of levels. On each level, the players have a primary objective with several side-quests which can change as the mission progresses. The main ship of the fleet serves as a mothership, which can build other ships. The mothership cannot move. There are immovable objects on every level, which can be mined using special ships that will take the ores to the mothership. These resources are later used to build new ships, such as miners or attack vessels. Remastered Edition featured The gameplay was left untouched by Gearbox Software. Only the graphics and the UI got heavily refined."
10263,toribash,Toribash,2010-07-12,2010,https://media.rawg.io/media/screenshots/dd9/dd9737bb37509aa151c3ba92c8e5f992.jpg,3.29,,1,"PC, Apple Macintosh, Linux, Nintendo","Action, Strategy, Indie","Toribash is a turn-based fighting game developed by Nabi Studios. The game is free-to-play on Windows, OS X and Linux. The also used to be available on Wii Shop Channel for 1000 Wii Points (about $10). Gameplay The game revolves around 1vs1 duels between doll-like minimalistic characters against either CPU or other players via the internet. Toribash is notable for its unique mix of fighting game and turn-based strategy based on ragdoll physics. Instead of commanding character to perform certain attacks or special moves, the players manipulate various joints on the character’s model. It includes relaxing, holding, contracting and extending different parts of the doll’s body. After pressing spacebar, the model starts moving according to the player’s command for several frames and then the next turn begins. The goal of each match is either to gain more points than your opponent or to knock them outside the ring. Players earn points by successfully performing different punches, kicks, grabs and other moves. Toribash multiplayer offers many different game modes. They vary depending on how many frames one turn takes, the distance between characters or specific aspects of in-game physics. There are also many player-made modifications to the game that change the dolls’ type, the way they move or add additional objects to the environment."
10270,100-orange-juice,100% Orange Juice,2013-09-10,2013,https://media.rawg.io/media/screenshots/c68/c68b8a31313d8945d675fa8862198d14.jpg,3.01,,4,PC,"Strategy, Indie","100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice. This is a world where dogs, people and machines fly through the air. In that world, a small patch of darkness was born. Infinitesimal at first, it gradually began to envelop everything... A youth named Kai, led by the mysterious life form known as Marie Poppo, begins a journey that will span worlds. The black, bottomless darkness of desire slowly eats away at both Kai and the world itself... Let Marie Poppo lead you into a mysterious world to play. Grab your deck of cards and let the games begin!Features:Dice, cards, stars, battles and pudding 4 Single-player campaigns Playable by up to 4 players online Countless battle combinations Utilize each character's unique combat attributes More than 50 different cards to collect Character abilities in the form of Hyper CardsNew Steam Features:Full HD support Redesigned multiplayer experience using Steam's lobby system Spectator mode Avatar customization New character skins to unlock VAC enabled Custom language support"
